question,document
Does LLM Zoomcamp have a central management page like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you guys run live sessions for every module, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help?",d65e05bd7a
How do I know when a live session is happening for this course?,d65e05bd7a
"Is there any office hours or extra support available, even if it's paid?",d65e05bd7a
"Are the module materials available somewhere in the repo, or do I have to wait for class?",d65e05bd7a
Can I count a Bluesky post toward the learning in public credits for this course?,dbf5369006
Do Bluesky updates qualify as learning in public evidence when I want the course credits?,dbf5369006
Is it okay to use Bluesky activity as proof for learning in public credits?,dbf5369006
Will a post on Bluesky be accepted for the learning in public requirement?,dbf5369006
"For this course, can I get learning in public credits by sharing on Bluesky?",dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what’s the URL?",054f3fd58f
Which Telegram channel is used for LLM Zoomcamp announcements?,054f3fd58f
"If I want course announcements, where should I go on Telegram for LLM Zoomcamp?",054f3fd58f
Why don't we use LangChain in this course?,b7cdde6b25
What's the reason for building the RAG pieces from scratch instead of relying on a framework?,b7cdde6b25
"Why do we learn prompting, retrieval, indexing, and evaluation manually before using tools like LangChain?",b7cdde6b25
Is there a reason the course avoids LangChain at the beginning?,b7cdde6b25
Why is it better to understand the core LLM app parts before using a framework?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does the insufficient credits error mean in OpenAI responses.create?,f5df151c59
How can I fix the error that shows up when using OpenAI responses.create in my project?,f5df151c59
Is the responses.create failure caused by my code or by lack of OpenAI account credits?,f5df151c59
What should I check in my OpenAI account if responses.create suddenly stops working?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI give free API usage, or do I need to add money before this works?",152af39a53
"What does 'insufficient_quota' mean in this error message, and how do I fix it?",152af39a53
"After I add billing credits, do I need to change the model name in responses.create?",152af39a53
Do I need to make a new API key after topping up my OpenAI account?,152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money on OpenAI API usage in Module 1?,554d0eb78b
"What’s the minimum amount I can add to my OpenAI balance, and is that enough for the course?",554d0eb78b
Will I end up paying more than a few cents if I use the OpenAI API for the assignments?,554d0eb78b
"If I start with a $5 recharge on OpenAI, is that more than enough for the course work?",554d0eb78b
Do I need an OpenAI API subscription to finish the homework in this course?,85384a18e5
"Will I have to pay for OpenAI to complete the assignments, or are there cheaper options?",85384a18e5
"If I don’t want to use OpenAI API, what other model providers can I use for the course work?",85384a18e5
Can I do the LLM Zoomcamp homework without paying for OpenAI services?,85384a18e5
Where can I find free or low-cost alternatives to OpenAI API for this course?,85384a18e5
Why does my Jupyter notebook still not see OPENAI_API_KEY even though I set it in .env?,86d99bbf21
Do I need python-dotenv to load environment variables inside the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What should I check if the API key name in .env is not being picked up?,86d99bbf21
"How do I fix the ""OPENAI_API_KEY not found"" problem in a notebook?",86d99bbf21
How do I keep my API keys in a .env file and load them in Python?,233dabe430
"What’s the recommended way to store OpenAI, Groq, or Gemini keys so they’re not exposed in my repo?",233dabe430
Do I need to install anything to read environment variables from a .env file in this course?,233dabe430
How can I make sure my .env file doesn’t get committed to GitHub?,233dabe430
What does the Python code look like for loading API keys with dotenv and os.getenv()?,233dabe430
"Can I use a different LLM provider than the one suggested in the homework, or is it required to stick with it?",ee43413718
"Does the course allow using things like Gemini, Groq, OpenRouter, Azure OpenAI, or local models instead of the recommended model?",ee43413718
"Will I need a paid API plan to finish the homework, or can I do it with free options?",ee43413718
"If I switch providers, what parts of the code usually need changes, like response format, tool schema, or tokenizer handling?",ee43413718
Where can I find a list of OpenAI API alternatives or other model/provider options for this module?,ee43413718
How can I set up Gemini in the Module 1 notebook if I want to use the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env and client config to call Google Gemini from the course notebook?,0ae5c221b9
Is there a simple example of an llm helper that works with Gemini through the OpenAI-compatible API?,0ae5c221b9
Why does the notebook code need changes when using Gemini instead of the Responses API?,0ae5c221b9
What should I update in the course notebook when switching from OpenAI Responses to Gemini chat completions?,0ae5c221b9
"How do I install Ollama on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to start Llama 3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from a script?,1d0b969028
Can you show a simple Python example for chatting with Ollama using llama3?,1d0b969028
"Why am I getting a connection refused error when I try to prompt my Ollama RAG setup, and how do I fix it for the homework?",c6fc2d4d11
My Ollama server seems to stop and the notebook can’t connect anymore — what should I do to get it working again?,c6fc2d4d11
"Do I need to restart the Ollama server if I see connection refused while running the RAG exercise? If yes, what command should I use?",c6fc2d4d11
"I was running `ollama serve` in a notebook cell, but after restarting it I get errors. How can I bring the server back up properly?",c6fc2d4d11
What’s the quickest way to recover from a connection refused problem with Ollama during the Module 1 RAG homework?,c6fc2d4d11
Why do I get a different token count from tiktoken than from OpenAI when I send a chat request?,bf0403d21b
"If my prompt is 320 tokens in tiktoken, why does the API show a few extra tokens?",bf0403d21b
What are these extra tokens OpenAI adds in chat.completions calls?,bf0403d21b
"Can spaces, newlines, or weird Unicode change the token count compared to my local count?",bf0403d21b
Is there a fixed overhead for each chat message and for starting the assistant reply?,bf0403d21b
How can I keep my API key loaded automatically in a project so I don't have to export it every time I open a new terminal?,8b2f5e9d04
What's the easiest way to make env vars like OPENAI_API_KEY appear only when I'm inside the project folder?,8b2f5e9d04
"Should I use dirdotenv or direnv for loading my .env file, and what's the difference between them?",8b2f5e9d04
"For a Python script, how do I load variables from .env without setting them manually in the shell?",8b2f5e9d04
"If I'm using GitHub Codespaces, is there a better way to store secrets than putting them in .env or .envrc?",8b2f5e9d04
What’s the best way to decide field weights in minsearch or another search engine?,87d4ea4e08
"Do I just tune search field weights by trial and error, or is there a better method?",87d4ea4e08
How can I test different weight settings for retrieval and know which one works best?,87d4ea4e08
"What should I use to evaluate field weights, like hit rate or MRR, when building search?",87d4ea4e08
How do I pick weights for search fields without guessing too much?,87d4ea4e08
What’s the best way to clean documents before using them in a RAG pipeline?,649c280e6d
"Should I strip out HTML, headers, footers, and OCR noise when preparing data for retrieval?",649c280e6d
What kind of context is worth keeping in docs so retrieval works better?,649c280e6d
"Do I need to store my RAG data as JSON, or can I use a different format?",649c280e6d
How should I chunk documents and what metadata should I keep for better search?,649c280e6d
"Why does uv show ""Failed to hardlink files"" in GitHub Codespaces — is something actually broken?",acf8fa5356
Can I ignore the hardlink warning from uv when installing packages in Codespaces?,acf8fa5356
How do I stop uv from printing the hardlink/copy warning for just my current terminal session?,acf8fa5356
What do I need to add to my shell config so uv always uses copy mode in Codespaces?,acf8fa5356
"If uv can't hardlink between cache and the environment, does the install still go through?",acf8fa5356
"Why am I getting ""dotenv is not recognized"" and what package do I need to install for it?",0bed1f48da
"In my RAG setup, what should I add if `dotenv` isn’t available in Python?",0bed1f48da
How do I fix the error when `dotenv` is not found in the environment?,0bed1f48da
What is the command to install the package for loading `.env` files in Python?,0bed1f48da
"After installing the dotenv package, how do I import and call it in my code?",0bed1f48da
"Can I do the course on my own laptop instead of using Codespaces, or is Codespaces required?",aa310de435
"If I want to work locally, what tools do I need to install first for Module 1?",aa310de435
Is it okay to skip the shared environment and just set everything up on my machine?,aa310de435
How hard is it to run the RAG module locally rather than in Codespaces?,aa310de435
"If I use a local setup, do I need to keep notes or make it reproducible in any way?",aa310de435
"If I write code in GitHub Codespaces and don’t commit it, is it still saved somewhere?",610ccb23c0
Where does the code live in Codespaces before I push or commit it?,610ccb23c0
Can my work disappear from Codespaces if I leave it uncommitted?,610ccb23c0
Why is it still important to commit regularly when using Codespaces?,610ccb23c0
"If my Codespaces gets stopped or deleted, will uncommitted changes still be there?",610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How do I give WSL2 more RAM so the model can run?,f3dd94f323
Where do I put the .wslconfig file on Windows to increase WSL2 memory?,f3dd94f323
What should I write inside .wslconfig to allocate more memory to WSL2?,f3dd94f323
"After changing WSL2 memory settings, how can I check that the new RAM limit was applied?",f3dd94f323
"In agentic RAG, what exactly counts as a tool or function, and what are some common examples?",c296ea5a21
"Are tools and functions different things in this course, or can I treat them as basically the same?",c296ea5a21
When does the model decide to call a tool or function in agentic RAG instead of just answering directly?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
"If the model needs outside help like searching docs, hitting an API, or doing a calculation, is that considered using a tool/function?",c296ea5a21
"Are there any free models I can use with tool calling support for development, like on Groq?",0d74a3616f
"Which Groq models support tool use for free, for example Deepseek R1 or Llama 4?",0d74a3616f
"Besides Groq, which other providers have function calling or tool-use support, such as Mistral, Gemini, or Ollama?",0d74a3616f
"Do I need to change my code when switching away from OpenAI tools, since schemas and response formats can differ?",0d74a3616f
Where can I find the official Groq documentation for tool use and function calling?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `response.output` with Mistral or Groq?,9e7b3f0c25
"Is the new OpenAI Responses API only for OpenAI models, or can I use it with Gemini and other providers too?",9e7b3f0c25
What should I use instead of `client.responses.create(...)` if I’m calling a non-OpenAI model?,9e7b3f0c25
How do I read the model reply when I switch to the older chat completions API?,9e7b3f0c25
Do I need to change my tools schema when moving from OpenAI Responses API to another provider?,9e7b3f0c25
Why am I getting a 400 error in Azure OpenAI saying tools[0].function is missing when I try to use my weather tool?,b9c7c6bb34
How should I format the get_weather_tool JSON so Azure OpenAI accepts it?,b9c7c6bb34
What’s the correct structure for a function tool definition in this case?,b9c7c6bb34
"Do I need a function block inside the tool object for Azure OpenAI, and what should it include?",b9c7c6bb34
Can you show the fixed get_weather_tool example for the weather function?,b9c7c6bb34
Where do I actually find the Module 1 homework questions for llm-zoomcamp?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page with the tasks too?",53f15299b6
Which GitHub links should I open for the 2026 Module 1 homework?,53f15299b6
"Do I need to check the course management platform, or are the homework instructions in the repo enough?",53f15299b6
What’s the best place to get the homework details and any extra context for Module 1?,53f15299b6
Why am I getting an empty list after filtering my query in HW Q3?,83da208a64
What should I check first if my homework query keeps returning no results after filtering?,83da208a64
Could this be caused by the data being indexed the wrong way before I apply filters and queries?,83da208a64
Do I need to set the index settings before inserting the data for Module 1 Homework Q3?,83da208a64
How can I fix my empty-results issue when filtering and querying the homework index?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create, and how do I fix it?",cfb07a27d5
Do I need to set max_output_tokens somewhere in the Module 1 homework code to avoid the OpenRouter 402 problem?,cfb07a27d5
"In rag_helper.py, where should I add the token limit so the LLM call doesn’t get rejected?",cfb07a27d5
"For the ToyAIKit question in homework Q6, what extra setting should I pass to OpenAIClient?",cfb07a27d5
"If I still get the same error after limiting output tokens, what else should I check in my OpenRouter setup?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the full docs?",b4300adeb1
"When building the search index, should I fit it on the original documents or on the chunked ones?",b4300adeb1
"If I have `documents` and `chunks`, which one is RAG supposed to search over in this homework?",b4300adeb1
Why does the homework say to use the chunk index for retrieval rather than the full document index?,b4300adeb1
"After splitting the data, what should go into the prompt: whole documents or only the retrieved chunks?",b4300adeb1
"Do I need to match the homework options exactly, or can I pick the nearest one if my number is a bit off?",5e4ca64cb5
"If my calculated answer is close to one of the multiple-choice options, should I choose that option even when it doesn't match perfectly?",5e4ca64cb5
"Why do my homework results sometimes differ slightly from the listed choices, even when my code seems right?",5e4ca64cb5
What should I check if my answer is way different from every option in the homework?,5e4ca64cb5
"Can small changes in filtering, dataset version, or rounding explain why my numeric homework answer isn't exact?",5e4ca64cb5
Where should I check first when a homework task seems confusing or vague?,7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub pages have the homework details and materials?",7d3a2e3505
"Does the homework usually copy the lesson exactly, or does it change the dataset or task a bit?",7d3a2e3505
"If I still can’t figure out a homework question, what’s the best way to ask for help in Slack?",7d3a2e3505
"When I post a homework issue in Slack, should I send screenshots or paste the code and command output as text?",7d3a2e3505
"How should I count tokens for the Module 1 homework if I'm using a provider that's not OpenAI, like Gemini or Mistral?",fe8fed31e6
Where do I find the token count in the model response for this homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for token counting with Hugging Face, Groq, or other providers?",fe8fed31e6
What should I do if my model provider doesn't give token usage in the response object?,fe8fed31e6
"For the multiple-choice homework, if the token count isn't exact, should I pick the nearest answer option?",fe8fed31e6
"What exactly are embeddings in vector search, and why do they turn text or other non-numerical data into numbers?",69430a79a8
How do embeddings keep meaning and context when they convert data into numerical form?,69430a79a8
Why should similar inputs produce similar vectors or numerical values in an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity search?,69430a79a8
"What are the related ideas behind embeddings, like vector space models and dimensionality reduction?",69430a79a8
How do I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made on sentence transformers v3.0.0 bet?,aa3f597424
What should I install to suppress the sentence-transformers version warning in Module 2 vector search?,aa3f597424
Is upgrading sentence-transformers the fix for the model made on v3.0.0 beta warning?,aa3f597424
Which pip command should I run to stop the multi-qa-mpnet-base-dot-v1 warning from showing up?,aa3f597424
Do I need sentence-transformers 3.0.0 or newer to avoid that warning message?,aa3f597424
Why did the lesson use plain dot product for similarity instead of explicitly normalizing vectors first?,92cd22cada
"In the homework, why isn’t `.dot(...)` enough to compare embeddings the same way as in the lecture?",92cd22cada
"Are the embeddings from `model.encode(...)` already unit length, or do we still need to normalize them?",92cd22cada
"With TF-IDF plus SVD vectors, do we have to normalize before calculating cosine similarity?",92cd22cada
When does dot product give the same result as cosine similarity in vector search?,92cd22cada
"For vector search, do I need to embed just the answer, just the question, or both together?",5c4a8d2e60
"Which works better in practice for vector search: indexing the FAQ text only, the question only, or question plus answer?",5c4a8d2e60
"Is there a recommended embedding strategy for FAQ retrieval, or do I have to test it on my own data?",5c4a8d2e60
Why would embedding the question itself help if users ask similar questions later?,5c4a8d2e60
"Does combining question and answer into one embedding usually improve hit rate, even if it costs more?",5c4a8d2e60
How does cosine similarity measure how close two non-zero vectors are in text analysis?,db78580409
Why is cosine of the angle between two document vectors useful for comparing their content?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
"In vector search, why do people use word counts or TF-IDF vectors with cosine similarity?",db78580409
"Can cosine similarity be used to compare documents, and what kind of similarity values can it return?",db78580409
Why does cosine similarity turn into just a dot product when the vectors are normalized?,95feb4e75b
"If all embeddings and the query are unit vectors, why can we use matrix multiplication to get cosine scores?",95feb4e75b
What changes in cosine similarity when the vector lengths are already normalized to 1?,95feb4e75b
How does normalizing the embeddings make nearest-neighbor search faster with matrix multiplication?,95feb4e75b
Why is cosine similarity between a query and documents the same as their dot product after normalization?,95feb4e75b
"Do I need to create a brand-new GitHub repo for Module 2, or is a separate codespace enough?",1e829a8c6f
"For the vector search module, should I just spin up another codespace from my current repo?",1e829a8c6f
Why does Module 2 recommend using its own codespace instead of keeping everything in the Module 1 one?,1e829a8c6f
"If I set up Module 2 in a different codespace, can I delete it later without losing my work?",1e829a8c6f
Do I have to commit my Module 2 changes before I close or remove the codespace?,1e829a8c6f
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return valid JSON instead of putting the answer inside a code block or adding extra text?,a3c7e1b4f9
What should I change in my OpenAI call so `json.loads(...)` works without failing on the first character?,a3c7e1b4f9
"Do I need to specify the exact JSON shape in the prompt, and if so, what should it say?",a3c7e1b4f9
Is there a provider-specific way to force JSON output in tools like Gemini or Groq?,a3c7e1b4f9
Why does my Jupyter notebook kernel crash when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if embedding the ground-truth set uses too much RAM on Codespaces or my laptop?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder?,b8f2d6a30c
How do I avoid memory issues by running the embedding step outside the notebook?,b8f2d6a30c
Can I batch the ground-truth embeddings and free memory between chunks to stop the crash?,b8f2d6a30c
Why does adding a small sleep in my loop still hit Gemini limits when I’m building the ground-truth data?,c1e9f4b820
What should I do if the free Gemini quota gets exhausted halfway through a long tqdm run?,c1e9f4b820
Is it better to switch to GPT-4o mini or Groq if I keep running into rate limits during evaluation dataset generation?,c1e9f4b820
How can I reduce the chance of hitting API rate limits when I’m using thread pools for this task?,c1e9f4b820
What’s a good way to avoid losing progress if the model request limit stops my ground-truth generation job?,c1e9f4b820
How do I fix the Windows error about loading torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
I’m getting OSError: [WinError 126] on Windows when importing PyTorch — what should I install to solve it?,15e931476c
What can I do if Python says it can’t find fbgemm.dll in my Torch site-packages folder on Windows?,15e931476c
Do I need Visual C++ Redistributable for the fbgemm.dll missing module error in PyTorch?,15e931476c
"Is Visual Studio required for the WinError 126 fbgemm.dll issue, or is Visual Studio Code enough?",15e931476c
"Why do I get ""could not translate host name postgres to address"" when I run prep.py, and what should I change in my .env file?",4b65d5542d
"I’m seeing a psycopg2 OperationalError about the host ""postgres"" not being found. How do I fix the database connection?",4b65d5542d
What is the correct value for POSTGRES_HOST if python prep.py fails with a No such host is known error?,4b65d5542d
"My prep.py script throws an OperationalError with host name postgres. Do I need to edit .env, and if so what line?",4b65d5542d
How can I solve the postgres host resolution error in Module 5 Monitoring when running the prep script?,4b65d5542d
How do I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation text from the judge LLM instead of a truncated version?",641aedbbf5
What Pandas setting should I change if a column only shows the first 50 characters with dots at the end?,641aedbbf5
"How can I display the entire content of a text column in Pandas, not just a shortened preview?",641aedbbf5
Is there a quick way to let Pandas show unlimited column width for long strings?,641aedbbf5
How do I normalize vectors stored in a pandas DataFrame column?,5039707c1a
What's the easiest way to normalize each vector in a Pandas Series?,5039707c1a
Can I use apply with numpy.linalg.norm to normalize a column of vectors in pandas?,5039707c1a
How would I create a new DataFrame column with normalized vectors from an existing one?,5039707c1a
What’s the standard way to divide each vector by its norm in a pandas column?,5039707c1a
How can I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What’s the Pandas way to calculate the 0.75 quantile of a Series?,b4c8ac5a0c
How do I compute a percentile value for one DataFrame column in pandas?,b4c8ac5a0c
Is there a simple `.quantile()` example for the 75% point in Pandas?,b4c8ac5a0c
How can I find the 75 percentile from a dataframe column with Pandas?,b4c8ac5a0c
"How do I wipe all Docker containers from the terminal, including the ones still running?",66ccbb7da0
What's the command to force-remove every Docker image on my machine?,66ccbb7da0
How can I delete all Docker volumes using just the command line?,66ccbb7da0
Is there a quick way to clean up all containers and images in Docker at once?,66ccbb7da0
"Which terminal commands should I run to fully clear Docker containers, images, and volumes?",66ccbb7da0
"How do I make Streamlit feedback buttons only work once per submission, like one +1 or -1 per answer?",2e729f1271
Why does my `st.session.submitted` flag keep getting set back to True after I press a feedback button?,2e729f1271
"In Streamlit, what’s the best way to disable the feedback buttons when `st.session.submitted` is False after hitting Ask?",2e729f1271
I’m trying to stop users from clicking feedback more than once on the same submission — how do I fix the session state issue?,2e729f1271
Where can I find the solution for Streamlit session attributes being reassigned unexpectedly in this feedback-button setup?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when starting my app with docker-compose, even though it works normally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to launch a Streamlit app with that OCI runtime error?,e8df9f0d12
Do I need to add a Dockerfile and install Streamlit differently for docker-compose to run my app?,e8df9f0d12
"After changing my compose setup for Streamlit, what command should I run to rebuild everything and start it again?",e8df9f0d12
How can I fix the container startup error where docker says it can't find the streamlit executable?,e8df9f0d12
"Can the capstone be done as a team project, or does every student need to submit their own work?",0fab61eca2
"If we brainstorm or build something together, is that still okay for the capstone?",0fab61eca2
Could multiple students share one system if each person owns a separate part of it?,0fab61eca2
What counts as an independent capstone submission when people collaborate on the same idea?,0fab61eca2
"If the project can't be graded separately for each person, is that allowed for the capstone?",0fab61eca2
"Do I need to hand in two separate capstone projects, or is one project enough for the course?",d5fc98925d
"What exactly do attempt 1 and attempt 2 mean for the capstone submission, and do I have to submit again if the first try fails?",d5fc98925d
"If I miss the first submission window, can I still submit later in the second window and stay on track?",d5fc98925d
"Can I turn in two projects just for practice, and if so, do they need to be on different datasets and problems?",d5fc98925d
Does a project submission count toward certification if I don’t do the required peer reviews for three classmates?,d5fc98925d
"Is the competition accepted as the capstone project, or is the capstone supposed to be done separately?",e892d44e42
"Can I join the math-kaggle-llm-competition with other students, or do I have to work alone?",e892d44e42
"If I make a team for the competition, does that count toward my capstone requirement?",e892d44e42
"Are capstone submissions individual only, even if I participate in the competition as a group?",e892d44e42
Should I treat the competition and the capstone as two different things in this course?,e892d44e42
How will my capstone project be graded at the end of the course?,9a2e2d2008
"Who reviews the capstone submission, and are they other students too?",9a2e2d2008
"Do I also need to grade other students’ projects, or is it only my own work being reviewed?",9a2e2d2008
What happens if I don’t review the required number of fellow students’ projects?,9a2e2d2008
Is the final capstone score based on one reviewer’s grade or on several peer reviews?,9a2e2d2008
When do we get the projects to review and grade after the deadline?,eae0fb50aa
How are the review assignments distributed to each participant?,eae0fb50aa
Will everyone get the same number of projects for grading in the capstone project?,eae0fb50aa
Is there an Excel sheet with the peer-review assignments after submissions close?,eae0fb50aa
"After the submission deadline, how will I know which 3 projects I need to grade?",eae0fb50aa
"I already sent in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
When do project reviews actually get assigned after the deadline is over?,a8a7fef016
"Can I pick which submitted projects I want to evaluate, or is it random?",a8a7fef016
Is there any way to start reviewing projects before the review list comes out?,a8a7fef016
"I finished my submission, but the review section is empty — is that normal?",a8a7fef016
Where can I find some project ideas or dataset suggestions for the capstone project?,e76a70cde3
Is there a GitHub page with ideas and datasets I can use for the project?,e76a70cde3
What’s the best place to look for dataset options and project inspiration for the capstone?,e76a70cde3
"Do you have a link with tips, guidelines, and possible datasets for the project?",e76a70cde3
Where should I go if I need some ideas to get started on the project?,e76a70cde3
"For the capstone project, is it required to use Airflow, Mage, or Kestra, or is a simple Python script enough?",d4f7c08ea1
Can I still get full points on the ingestion pipeline part if I just write a plain script that loads and indexes the data?,d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook instead of a script, how many points would that count for?",d4f7c08ea1
"Should I add an orchestration tool to the project just to satisfy the criterion, or only when the use case really needs it?",d4f7c08ea1
"When would it make sense to use an orchestrator in the capstone, like for a dataset that refreshes every day?",d4f7c08ea1
How can I evaluate a recommender-style RAG when I don’t have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for each item so I can measure retrieval quality?,9b0e2d6a47
"Is it possible to use an LLM as a judge for end-to-end RAG evaluation, and how would that work?",9b0e2d6a47
"For ranking tasks where several items could be valid, should I use hit rate or NDCG?",9b0e2d6a47
How do I score a RAG system by relevance and usefulness if I have to define the rubric myself?,9b0e2d6a47
"For a big corpus with long PDFs, should I spend time building the perfect chunker first, or just start with something basic and test it?",6f2a8b3d10
What’s a good first chunking setup for long docs if I want to get an initial retrieval baseline fast?,6f2a8b3d10
"If my documents have clear sections, is it worth using an LLM to break them into logical chunks instead of fixed-size pieces?",6f2a8b3d10
"Does adding a short summary to each chunk actually help search, and how would I use it in indexing?",6f2a8b3d10
"For legal or financial PDFs, should I rely only on dense embeddings, or is a hybrid BM25 plus dense setup better when exact wording matters?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I let someone rebuild the search index from my repo without giving away credentials?,e5d8a2c761
"Should I include a .env.example file in the project, and what should go in it?",e5d8a2c761
How can I make sure reviewers can run my project with their own keys instead of mine?,e5d8a2c761
What do I need to pin or document so my project can be reproduced reliably?,e5d8a2c761
